gene_id	cluster
YAL001C	1
YAL005C	1
YAL013W	1
YAL015C	1
YAL017W	1
YAL028W	1
YAL030W	1
YAL034C	1
YAL039C	1
YAL044C	1
YAL049C	1
YAL054C	1
YAL060W	1
YAL061W	1
YAR023C	1
YAR027W	1
YAR029W	1
YAR042W	1
YAR044W	1
YAR061W	1
YBL007C	1
YBL015W	1
YBL019W	1
YBL022C	1
YBL030C	1
YBL033C	1
YBL037W	1
YBL038W	1
YBL040C	1
YBL041W	1
YBL045C	1
YBL047C	1
YBL049W	1
YBL050W	1
YBL058W	1
YBL064C	1
YBL073W	1
YBL074C	1
YBL075C	1
YBL078C	1
YBL080C	1
YBL086C	1
YAL002W	2
YAL010C	2
YAL016W	2
YAL018C	2
YAL020C	2
YAL021C	2
YAL022C	2
YAL024C	2
YAL026C	2
YAL029C	2
YAL031C	2
YAL032C	2
YAL034W-A	2
YAL037W	2
YAL041W	2
YAL043C	2
YAL045C	2
YAL047C	2
YAL048C	2
YAL051W	2
YAL053W	2
YAL056W	2
YAL064C-A	2
YAL064W	2
YAL066W	2
YAL068C	2
YAR003W	2
YAR007C	2
YAR008W	2
YAR010C	2
YAR014C	2
YAR019C	2
YAR020C	2
YAR028W	2
YAR035W	2
YAR047C	2
YAR050W	2
YAR053W	2
YAR062W	2
YAR068W	2
YBL001C	2
YBL004W	2
YBL005W	2
YBL005W-A	2
YBL005W-B	2
YBL010C	2
YBL012C	2
YBL013W	2
YBL017C	2
YBL046W	2
YBL065W	2
YBL067C	2
YBL084C	2
YBL085W	2
YBL088C	2
YAL003W	3
YAL007C	3
YAL014C	3
YAL019W	3
YAL023C	3
YAL025C	3
YAL033W	3
YAL035C-A	3
YAL035W	3
YAL036C	3
YAL038W	3
YAL040C	3
YAL042W	3
YAL046C	3
YAL059W	3
YAL069W	3
YAR002C-A	3
YAR002W	3
YAR015W	3
YAR071W	3
YAR073W	3
YAR075W	3
YBL002W	3
YBL003C	3
YBL009W	3
YBL011W	3
YBL014C	3
YBL016W	3
YBL018C	3
YBL020W	3
YBL023C	3
YBL024W	3
YBL026W	3
YBL027W	3
YBL028C	3
YBL032W	3
YBL035C	3
YBL036C	3
YBL039C	3
YBL042C	3
YBL051C	3
YBL052C	3
YBL053W	3
YBL054W	3
YBL055C	3
YBL056W	3
YBL057C	3
YBL061C	3
YBL062W	3
YBL068W	3
YBL069W	3
YBL071C	3
YBL072C	3
YBL076C	3
YBL077W	3
YBL079W	3
YBL081W	3
YBL082C	3
YBL083C	3
YBL087C	3
YBL089W	3
YBL091C	3
YAL004W	4
YAL008W	4
YAL009W	4
YAL011W	4
YAL012W	4
YAL027W	4
YAL043C-A	4
YAL055W	4
YAL058C-A	4
YAL058W	4
YAL062W	4
YAL063C	4
YAL064W-B	4
YAL065C	4
YAL067C	4
YAR009C	4
YAR018C	4
YAR030C	4
YAR031W	4
YAR033W	4
YAR060C	4
YAR064W	4
YAR066W	4
YAR069C	4
YAR070C	4
YBL006C	4
YBL008W	4
YBL021C	4
YBL025W	4
YBL029W	4
YBL031W	4
YBL034C	4
YBL043W	4
YBL044W	4
YBL048W	4
YBL059W	4
YBL060W	4
YBL063W	4
YBL066C	4
YBL070C	4
YBL090W	4
